step,run_id,timestamp,name,num_citizens="100",num_corporate_media="3",num_influencers="5",num_government="1",network_type="small_world",steps="75",simulationName="med-trust-med-accuracy-s2",truth_seeking_mean="0",truth_seeking_std="2.5",confirmation_bias_min="3",confirmation_bias_max="8",critical_thinking_min="3",critical_thinking_max="8",social_conformity_min="3",social_conformity_max="8",initial_trust_in_corporate="5",initial_trust_in_influencers="5",initial_trust_in_government="5",corporate_bias_min="-3",corporate_bias_max="3",truth_commitment_corporate="6",corporate_publication_rate="1",corporate_influence_reach="0.7",influencer_bias_min="-4",influencer_bias_max="4",truth_commitment_influencer="4",influencer_publication_rate="1",influencer_influence_reach="0.5",government_bias="1",truth_commitment_government="5",government_publication_rate="1",government_influence_reach="0.6",small_world_k="4",small_world_p="0.1",scale_free_m="3",random_p="0.1",avg_trust_corporate,avg_trust_government,avg_trust_influencer,avg_truth_assessment,trust_var_corporate,trust_var_government,trust_var_influencer
10,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.820597824441394,4.2775489600842524,0.5092051870659913,0.01141017465345056,0.03751917255700186,0.5660282288676789
11,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.820597824441394,4.2775489600842524,0.5086974884888945,0.01141017465345056,0.03751917255700186,0.5660282288676789
12,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.820597824441394,4.2775489600842524,0.5082275450219207,0.01141017465345056,0.03751917255700186,0.5660282288676789
13,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.820597824441394,4.2775489600842524,0.5077920379653814,0.01141017465345056,0.03751917255700186,0.5660282288676789
14,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.820597824441394,4.2775489600842524,0.5073879023118208,0.01141017465345056,0.03751917255700186,0.5660282288676789
15,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.820597824441394,4.2775489600842524,0.5070123230804359,0.01141017465345056,0.03751917255700186,0.5660282288676789
16,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.820597824441394,4.2775489600842524,0.5066627265111502,0.01141017465345056,0.03751917255700186,0.5660282288676789
17,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.820597824441394,4.259582379797084,0.505968799153536,0.01141017465345056,0.03751917255700186,0.5720252823576009
18,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.817324061299034,4.259582379797084,0.5054636086755603,0.01141017465345056,0.037405567083111525,0.5720252823576009
19,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.817324061299034,4.232469774535626,0.5041621334695701,0.01141017465345056,0.037405567083111525,0.5686963567387061
20,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.817324061299034,4.232469774535626,0.5038681154500483,0.01141017465345056,0.037405567083111525,0.5686963567387061
21,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.817324061299034,4.232469774535626,0.5035956440766255,0.01141017465345056,0.037405567083111525,0.5686963567387061
22,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.8124607371371555,4.232469774535626,0.5030221612943898,0.01141017465345056,0.03797028273860185,0.5686963567387061
23,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.8124607371371555,4.232469774535626,0.5028081689056281,0.01141017465345056,0.03797028273860185,0.5686963567387061
24,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.8124607371371555,4.232469774535626,0.5026067124275543,0.01141017465345056,0.03797028273860185,0.5686963567387061
25,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.8124607371371555,4.217962188300736,0.5018136459201362,0.01141017465345056,0.03797028273860185,0.5672628706490024
26,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.8124607371371555,4.217962188300736,0.5016492932430555,0.01141017465345056,0.03797028273860185,0.5672628706490024
27,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.8124607371371555,4.217962188300736,0.5014928129554518,0.01141017465345056,0.03797028273860185,0.5672628706490024
28,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.809101729649461,4.188620545315548,0.5001189299378279,0.01141017465345056,0.03782740136115235,0.565400752942853
29,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.8052192649507965,4.188620545315548,0.4996979906487755,0.01141017465345056,0.03783736945130913,0.565400752942853
30,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.8052192649507965,4.188620545315548,0.49959059650480625,0.01141017465345056,0.03783736945130913,0.565400752942853
31,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.8052192649507965,4.188620545315548,0.4994829763085431,0.01141017465345056,0.03783736945130913,0.565400752942853
32,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.8052192649507965,4.188620545315548,0.49937568792899084,0.01141017465345056,0.03783736945130913,0.565400752942853
33,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.8052192649507965,4.188620545315548,0.4992691781645086,0.01141017465345056,0.03783736945130913,0.565400752942853
34,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.8052192649507965,4.188620545315548,0.49916380106844405,0.01141017465345056,0.03783736945130913,0.565400752942853
35,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.8052192649507965,4.188620545315548,0.49905983340740334,0.01141017465345056,0.03783736945130913,0.565400752942853
36,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.8052192649507965,4.188620545315548,0.4989574876944841,0.01141017465345056,0.03783736945130913,0.565400752942853
37,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.8052192649507965,4.188620545315548,0.4988569231711195,0.01141017465345056,0.03783736945130913,0.565400752942853
38,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.8052192649507965,4.172670929769014,0.49822761729579346,0.01141017465345056,0.03783736945130913,0.5647030055858482
39,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.8052192649507965,4.172670929769014,0.498111979436843,0.01141017465345056,0.03783736945130913,0.5647030055858482
40,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.8052192649507965,4.172670929769014,0.49800026759781574,0.01141017465345056,0.03783736945130913,0.5647030055858482
41,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.8052192649507965,4.172670929769014,0.49789229971034743,0.01141017465345056,0.03783736945130913,0.5647030055858482
42,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.8052192649507965,4.172670929769014,0.49778789483409835,0.01141017465345056,0.03783736945130913,0.5647030055858482
43,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.8052192649507965,4.172670929769014,0.49768687567855835,0.01141017465345056,0.03783736945130913,0.5647030055858482
44,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.8052192649507965,4.172670929769014,0.49758907033381894,0.01141017465345056,0.03783736945130913,0.5647030055858482
45,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.8052192649507965,4.172670929769014,0.4974943134087041,0.01141017465345056,0.03783736945130913,0.5647030055858482
46,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.8052192649507965,4.172670929769014,0.4974024467280633,0.01141017465345056,0.03783736945130913,0.5647030055858482
47,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.8052192649507965,4.172670929769014,0.4973133197050687,0.01141017465345056,0.03783736945130913,0.5647030055858482
48,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.8052192649507965,4.172670929769014,0.49722678947665655,0.01141017465345056,0.03783736945130913,0.5647030055858482
49,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.8052192649507965,4.172670929769014,0.49714272086892103,0.01141017465345056,0.03783736945130913,0.5647030055858482
50,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.8052192649507965,4.172670929769014,0.49706098624289896,0.01141017465345056,0.03783736945130913,0.5647030055858482
51,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.8052192649507965,4.172670929769014,0.4969814652586283,0.01141017465345056,0.03783736945130913,0.5647030055858482
52,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.8052192649507965,4.172670929769014,0.4969040445857524,0.01141017465345056,0.03783736945130913,0.5647030055858482
53,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.8052192649507965,4.172670929769014,0.49682861758162516,0.01141017465345056,0.03783736945130913,0.5647030055858482
54,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.8052192649507965,4.172670929769014,0.49675508395229045,0.01141017465345056,0.03783736945130913,0.5647030055858482
55,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.8052192649507965,4.172670929769014,0.4966833494074808,0.01141017465345056,0.03783736945130913,0.5647030055858482
56,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.8052192649507965,4.172670929769014,0.49661332531759383,0.01141017465345056,0.03783736945130913,0.5647030055858482
57,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.8052192649507965,4.172670929769014,0.49654492837819375,0.01141017465345056,0.03783736945130913,0.5647030055858482
58,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.8052192649507965,4.172670929769014,0.49647808028579704,0.01141017465345056,0.03783736945130913,0.5647030055858482
59,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.8052192649507965,4.172670929769014,0.49641270742736565,0.01141017465345056,0.03783736945130913,0.5647030055858482
60,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.8052192649507965,4.172670929769014,0.4963487405849418,0.01141017465345056,0.03783736945130913,0.5647030055858482
61,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.8052192649507965,4.172670929769014,0.4962861146561508,0.01141017465345056,0.03783736945130913,0.5647030055858482
62,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.8052192649507965,4.172670929769014,0.4962247683907745,0.01141017465345056,0.03783736945130913,0.5647030055858482
63,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.8052192649507965,4.172670929769014,0.4961646441432373,0.01141017465345056,0.03783736945130913,0.5647030055858482
64,run_1746380575,2025-05-04 13:42:55,med-trust-med-accuracy-s2,"100","3","5","1","small_world","75","med-trust-med-accuracy-s2","0","2.5","3","8","3","8","3","8","5","5","5","-3","3","6","1","0.7","-4","4","4","1","0.5","1","5","1","0.6","4","0.1","3","0.1",5.1134075678966555,4.8052192649507965,4.172670929769014,0.4961056876405934,0.01141017465345056,0.03783736945130913,0.5647030055858482
